Name,Party
Jerry Carl,Republican
Barry Moore,Republican
Mike Rogers,Republican
Robert Aderholt,Republican
Mo Brooks,Republican
Gary Palmer,Republican
Terri Sewell,Democratic
Don Young,Republican
Tom O'Halleran,Democratic
Ann Kirkpatrick,Democratic
Raúl Grijalva,Democratic
Paul Gosar,Republican
Andy Biggs,Republican
David Schweikert,Republican
Ruben Gallego,Democratic
Debbie Lesko,Republican
Greg Stanton,Democratic
Rick Crawford,Republican
French Hill,Republican
Steve Womack,Republican
Bruce Westerman,Republican
Doug LaMalfa,Republican
Jared Huffman,Democratic
John Garamendi,Democratic
Tom McClintock,Republican
Mike Thompson,Democratic
Doris Matsui,Democratic
Ami Bera,Democratic
Jay Obernolte,Republican
Jerry McNerney,Democratic
Josh Harder,Democratic
Mark DeSaulnier,Democratic
Nancy Pelosi,Democratic
Barbara Lee,Democratic
Jackie Speier,Democratic
Eric Swalwell,Democratic
Jim Costa,Democratic
Ro Khanna,Democratic
Anna Eshoo,Democratic
Zoe Lofgren,Democratic
Jimmy Panetta,Democratic
David Valadao,Republican
Devin Nunes,Republican
Kevin McCarthy,Republican
Salud Carbajal,Democratic
Mike Garcia,Republican
Julia Brownley,Democratic
Judy Chu,Democratic
Adam Schiff,Democratic
Tony Cárdenas,Democratic
Brad Sherman,Democratic
Pete Aguilar,Democratic
Grace Napolitano,Democratic
Ted Lieu,Democratic
Jimmy Gomez,Democratic
Norma Torres,Democratic
Raul Ruiz,Democratic
Karen Bass,Democratic
Linda Sánchez,Democratic
Young Kim,Republican
Lucille Roybal-Allard,Democratic
Mark Takano,Democratic
Ken Calvert,Republican
Maxine Waters,Democratic
Nanette Barragán,Democratic
Katie Porter,Democratic
Lou Correa,Democratic
Alan Lowenthal,Democratic
Michelle Steel,Republican
Mike Levin,Democratic
Darrell Issa,Republican
Juan Vargas,Democratic
Scott Peters,Democratic
Sara Jacobs,Democratic
Diana DeGette,Democratic
Joe Neguse,Democratic
Lauren Boebert,Republican
Ken Buck,Republican
Doug Lamborn,Republican
Jason Crow,Democratic
Ed Perlmutter,Democratic
John B. Larson,Democratic
Joe Courtney,Democratic
Rosa DeLauro,Democratic
Jim Himes,Democratic
Jahana Hayes,Democratic
Lisa Blunt Rochester,Democratic
Matt Gaetz,Republican
Neal Dunn,Republican
Kat Cammack,Republican
John Rutherford,Republican
Al Lawson,Democratic
Michael Waltz,Republican
Stephanie Murphy,Democratic
Bill Posey,Republican
Darren Soto,Democratic
Val Demings,Democratic
Daniel Webster,Republican
Gus Bilirakis,Republican
Charlie Crist,Democratic
Kathy Castor,Democratic
Scott Franklin,Republican
Vern Buchanan,Republican
Greg Steube,Republican
Brian Mast,Republican
Byron Donalds,Republican
Alcee Hastings,Democratic
Lois Frankel,Democratic
Ted Deutch,Democratic
Debbie Wasserman Schultz,Democratic
Frederica Wilson,Democratic
Mario Díaz-Balart,Republican
Carlos Giménez,Republican
Maria Elvira Salazar,Republican
Buddy Carter,Republican
Sanford Bishop,Democratic
Drew Ferguson,Republican
Hank Johnson,Democratic
Nikema Williams,Democratic
Lucy McBath,Democratic
Carolyn Bourdeaux,Democratic
Austin Scott,Republican
Andrew Clyde,Republican
Jody Hice,Republican
Barry Loudermilk,Republican
Rick W. Allen,Republican
David Scott,Democratic
Marjorie Taylor Greene,Republican
Ed Case,Democratic
Kai Kahele,Democratic
Russ Fulcher,Republican
Mike Simpson,Republican
Bobby Rush,Democratic
Robin Kelly,Democratic
Marie Newman,Democratic
Jesús "Chuy" García,Democratic
Mike Quigley,Democratic
Sean Casten,Democratic
Danny K. Davis,Democratic
Raja Krishnamoorthi,Democratic
Jan Schakowsky,Democratic
Brad Schneider,Democratic
Bill Foster,Democratic
Mike Bost,Republican
Rodney Davis,Republican
Lauren Underwood,Democratic
Mary Miller,Republican
Adam Kinzinger,Republican
Cheri Bustos,Democratic
Darin LaHood,Republican
Frank J. Mrvan,Democratic
Jackie Walorski,Republican
Jim Banks,Republican
Jim Baird,Republican
Victoria Spartz,Republican
Greg Pence,Republican
André Carson,Democratic
Larry Bucshon,Republican
Trey Hollingsworth,Republican
Ashley Hinson,Republican
Mariannette Miller-Meeks,Republican
Cindy Axne,Democratic
Randy Feenstra,Republican
Tracey Mann,Republican
Jake LaTurner,Republican
Sharice Davids,Democratic
Ron Estes,Republican
James Comer,Republican
Brett Guthrie,Republican
John Yarmuth,Democratic
Thomas Massie,Republican
Hal Rogers,Republican
Andy Barr,Republican
Steve Scalise,Republican
Clay Higgins,Republican
Mike Johnson,Republican
Garret Graves,Republican
Chellie Pingree,Democratic
Jared Golden,Democratic
Andy Harris,Republican
Dutch Ruppersberger,Democratic
John Sarbanes,Democratic
Anthony G. Brown,Democratic
Steny Hoyer,Democratic
David Trone,Democratic
Kweisi Mfume,Democratic
Jamie Raskin,Democratic
Richard Neal,Democratic
Jim McGovern,Democratic
Lori Trahan,Democratic
Jake Auchincloss,Democratic
Katherine Clark,Democratic
Seth Moulton,Democratic
Ayanna Pressley,Democratic
Stephen F. Lynch,Democratic
Bill Keating,Democratic
Jack Bergman,Republican
Bill Huizenga,Republican
Peter Meijer,Republican
John Moolenaar,Republican
Dan Kildee,Democratic
Fred Upton,Republican
Tim Walberg,Republican
Elissa Slotkin,Democratic
Andy Levin,Democratic
Lisa McClain,Republican
Haley Stevens,Democratic
Debbie Dingell,Democratic
Rashida Tlaib,Democratic
Brenda Lawrence,Democratic
Jim Hagedorn,Republican
Angie Craig,Democratic
Dean Phillips,Democratic
Betty McCollum,Democratic
Ilhan Omar,Democratic
Tom Emmer,Republican
Michelle Fischbach,Republican
Pete Stauber,Republican
Trent Kelly,Republican
Bennie Thompson,Democratic
Michael Guest,Republican
Steven Palazzo,Republican
Cori Bush,Democratic
Ann Wagner,Republican
Blaine Luetkemeyer,Republican
Vicky Hartzler,Republican
Emanuel Cleaver,Democratic
Sam Graves,Republican
Billy Long,Republican
Jason Smith,Republican
Matt Rosendale,Republican
Jeff Fortenberry,Republican
Don Bacon,Republican
Adrian Smith,Republican
Dina Titus,Democratic
Mark Amodei,Republican
Susie Lee,Democratic
Steven Horsford,Democratic
Chris Pappas,Democratic
Ann McLane Kuster,Democratic
Donald Norcross,Democratic
Jeff Van Drew,Republican
Andy Kim,Democratic
Chris Smith,Republican
Josh Gottheimer,Democratic
Frank Pallone,Democratic
Tom Malinowski,Democratic
Albio Sires,Democratic
Bill Pascrell,Democratic
Donald Payne Jr.,Democratic
Mikie Sherrill,Democratic
Bonnie Watson Coleman,Democratic
Deb Haaland,Democratic
Yvette Herrell,Republican
Teresa Leger Fernandez,Democratic
Lee Zeldin,Republican
Andrew Garbarino,Republican
Thomas Suozzi,Democratic
Kathleen Rice,Democratic
Gregory Meeks,Democratic
Grace Meng,Democratic
Nydia Velázquez,Democratic
Hakeem Jeffries,Democratic
Yvette Clarke,Democratic
Jerry Nadler,Democratic
Nicole Malliotakis,Republican
Carolyn Maloney,Democratic
Adriano Espaillat,Democratic
Alexandria Ocasio-Cortez,Democratic
Ritchie Torres,Democratic
Jamaal Bowman,Democratic
Mondaire Jones,Democratic
Sean Patrick Maloney,Democratic
Antonio Delgado,Democratic
Paul Tonko,Democratic
Elise Stefanik,Republican
Claudia Tenney,Republican
Tom Reed,Republican
John Katko,Republican
Joseph Morelle,Democratic
Brian Higgins,Democratic
Chris Jacobs,Republican
G. K. Butterfield,Democratic
Deborah Ross,Democratic
Greg Murphy,Republican
David Price,Democratic
Virginia Foxx,Republican
Kathy Manning,Democratic
David Rouzer,Republican
Richard Hudson,Republican
Dan Bishop,Republican
Patrick McHenry,Republican
Madison Cawthorn,Republican
Alma Adams,Democratic
Ted Budd,Republican
Kelly Armstrong,Republican
Steve Chabot,Republican
Brad Wenstrup,Republican
Joyce Beatty,Democratic
Jim Jordan,Republican
Bob Latta,Republican
Bill Johnson,Republican
Bob Gibbs,Republican
Warren Davidson,Republican
Marcy Kaptur,Democratic
Mike Turner,Republican
Marcia Fudge,Democratic
Troy Balderson,Republican
Tim Ryan,Democratic
David Joyce,Republican
Steve Stivers,Republican
Anthony Gonzalez,Republican
Kevin Hern,Republican
Markwayne Mullin,Republican
Frank Lucas,Republican
Tom Cole,Republican
Stephanie Bice,Republican
Suzanne Bonamici,Democratic
Cliff Bentz,Republican
Earl Blumenauer,Democratic
Peter DeFazio,Democratic
Kurt Schrader,Democratic
Brian Fitzpatrick,Republican
Brendan Boyle,Democratic
Dwight Evans,Democratic
Madeleine Dean,Democratic
Mary Gay Scanlon,Democratic
Chrissy Houlahan,Democratic
Susan Wild,Democratic
Matt Cartwright,Democratic
Dan Meuser,Republican
Scott Perry,Republican
Lloyd Smucker,Republican
Fred Keller,Republican
John Joyce,Republican
Guy Reschenthaler,Republican
Glenn Thompson,Republican
Mike Kelly,Republican
Conor Lamb,Democratic
Mike Doyle,Democratic
David Cicilline,Democratic
James Langevin,Democratic
Nancy Mace,Republican
Joe Wilson,Republican
Jeff Duncan,Republican
William Timmons,Republican
Ralph Norman,Republican
Jim Clyburn,Democratic
Tom Rice,Republican
Dusty Johnson,Republican
Diana Harshbarger,Republican
Tim Burchett,Republican
Chuck Fleischmann,Republican
Scott DesJarlais,Republican
Jim Cooper,Democratic
John Rose,Republican
Mark E. Green,Republican
David Kustoff,Republican
Steve Cohen,Democratic
Louie Gohmert,Republican
Dan Crenshaw,Republican
Van Taylor,Republican
Pat Fallon,Republican
Lance Gooden,Republican
Lizzie Pannill Fletcher,Democratic
Kevin Brady,Republican
Al Green,Democratic
Michael McCaul,Republican
August Pfluger,Republican
Kay Granger,Republican
Ronny Jackson,Republican
Randy Weber,Republican
Vicente Gonzalez,Democratic
Veronica Escobar,Democratic
Pete Sessions,Republican
Sheila Jackson Lee,Democratic
Jodey Arrington,Republican
Joaquin Castro,Democratic
Chip Roy,Republican
Troy Nehls,Republican
Tony Gonzales,Republican
Beth Van Duyne,Republican
Roger Williams,Republican
Michael C. Burgess,Republican
Michael Cloud,Republican
Henry Cuellar,Democratic
Sylvia Garcia,Democratic
Eddie Bernice Johnson,Democratic
John Carter,Republican
Colin Allred,Democratic
Marc Veasey,Democratic
Filemon Vela Jr.,Democratic
Lloyd Doggett,Democratic
